CustomerID,Recency,Frequency,Monetary,Log_Frequency,Log_Monetary,Recency_scaled,Frequency_scaled,Monetary_scaled
12346,233,1,77183.6,0.6931471805599453,11.253955234248428,1.7478239296992781,-0.8688132409635588,3.968899245706674
12347,37,5,2790.86,1.791759469228055,7.934463319358572,-0.7143836667023232,0.884599106243666,1.2525811830745943
12348,156,3,1167.24,1.3862943611198906,7.063253621732216,0.7805280882557918,0.23746677916904627,0.5396761064308928
12350,218,1,294.4,0.6931471805599453,5.68833037009728,1.5593896748726248,-0.8688132409635588,-0.5854144070890752
12352,170,5,1481.81,1.791759469228055,7.301694215251678,0.9564000594273346,0.884599106243666,0.7347904515318412
12353,112,1,89.0,0.6931471805599453,4.499809670330265,0.22778760743094253,-0.8688132409635588,-1.5579729574226377
12354,140,1,1079.4,0.6931471805599453,6.985086621918461,0.5795315497740284,-0.8688132409635588,0.4757125725709502
12355,122,1,459.4,0.6931471805599453,6.132095676847728,0.35341044398204463,-0.8688132409635588,-0.22228422054192584
12356,153,2,2429.08,1.0986122886681098,7.7956794576033825,0.7428412372904611,-0.22168091388893896,1.1390152759559558
12358,58,1,404.86,0.6931471805599453,6.006008272548823,-0.4505757099450088,-0.8688132409635588,-0.3254607013253932
12359,97,3,3495.73,1.3862943611198906,8.159583525046289,0.03935335260428938,0.23746677916904627,1.4367955437814453
12360,20,2,1378.28,1.0986122886681098,7.229316902867596,-0.9279424888391967,-0.22168091388893896,0.6755645802255178
12361,195,1,174.9,0.6931471805599453,5.169915651743512,1.27045715080509,-0.8688132409635588,-1.0096297085580006
12362,28,4,1582.35,1.6094379124341003,7.367298134620965,-0.827444219598315,0.5936093984622887,0.7884737005745385
12363,17,2,552.0,1.0986122886681098,6.315358001522335,-0.9656293398045274,-0.22168091388893896,-0.07232188429382036
12364,20,1,578.92,0.6931471805599453,6.362890162992622,-0.9279424888391967,-0.8688132409635588,-0.03342663403623087
12365,199,2,641.38,1.0986122886681098,6.465180028897591,1.3207062854255307,-0.22168091388893896,0.05027648002636196
12370,182,3,2682.66,1.3862943611198906,7.8949368134653275,1.107147463288657,0.23746677916904627,1.2202369073048747
12372,120,2,842.9200000000001,1.0986122886681098,6.738057703373554,0.3282858766718242,-0.22168091388893896,0.2735704584642302
12373,219,1,324.6,0.6931471805599453,5.785669634128385,1.571951958527735,-0.8688132409635588,-0.5057623374741452
12375,6,1,190.3,0.6931471805599453,5.253842876446207,-1.1038144600107398,-0.8688132409635588,-0.9409526211447374
12377,223,2,1548.12,1.0986122886681098,7.3454423067513295,1.622201093148176,-0.22168091388893896,0.7705892226067594
12378,37,1,4008.62,0.6931471805599453,8.29645175271804,-0.7143836667023232,-0.8688132409635588,1.5487939003243785
12379,78,1,414.84,0.6931471805599453,6.03030057089318,-0.1993300368428046,-0.8688132409635588,-0.30558247584165543
12380,93,1,562.5500000000001,0.6931471805599453,6.334256060688087,-0.010895782016151462,-0.8688132409635588,-0.05685772870110333
12381,27,1,1028.74,0.6931471805599453,6.937061622174111,-0.8400065032534253,-0.8688132409635588,0.43641403604542717
12383,92,5,1628.56,1.791759469228055,7.396065318710506,-0.02345806567126167,0.884599106243666,0.8120136951752108
12384,29,1,212.69,0.6931471805599453,5.364526366658372,-0.8148819359432049,-0.8688132409635588,-0.8503810603736848
12386,245,2,401.9,1.0986122886681098,5.998688392197302,1.8985713335606005,-0.22168091388893896,-0.33145051052660124
12388,56,4,1668.3400000000001,1.6094379124341003,7.420183617714074,-0.47570027725522923,0.5936093984622887,0.8317495381605454
12393,153,3,1061.1000000000001,1.3862943611198906,6.968003359327494,0.7428412372904611,0.23746677916904627,0.46173345289411605
12394,125,1,351.08,0.6931471805599453,5.863858422502836,0.3910972949473753,-0.8688132409635588,-0.4417809741805143
12395,20,8,1674.57,2.1972245773362196,7.423908684878225,-0.9279424888391967,1.531731433318286,0.8347977357407574
12397,43,1,1109.81,0.6931471805599453,7.012844757912828,-0.6390099647716619,-0.8688132409635588,0.4984268698549064
12399,27,4,1033.65,1.6094379124341003,6.941818484257838,-0.8400065032534253,0.5936093984622887,0.4403065445168343
12401,211,1,69.3,0.6931471805599453,4.252771798816619,1.4714536892868533,-0.8688132409635588,-1.7601223976838787
12402,231,1,195.6,0.6931471805599453,5.281171207713066,1.7226993623890576,-0.8688132409635588,-0.918590030198579
12405,56,1,1390.39,0.6931471805599453,7.238058526457821,-0.47570027725522923,-0.8688132409635588,0.6827177924229476
12406,91,1,1621.25,0.6931471805599453,7.391569353501278,-0.03602034932637188,-0.8688132409635588,0.8083346768736411
12407,42,4,1242.3600000000001,1.6094379124341003,7.125572671460932,-0.6515722484267722,0.5936093984622887,0.5906713685867864
12408,6,4,1939.05,1.6094379124341003,7.570469024921127,-1.1038144600107398,0.5936093984622887,0.9547270831021117
12409,90,1,6207.08,0.6931471805599453,8.733606948377961,-0.04858263298148209,-0.8688132409635588,1.9065150771159491
12410,216,2,533.33,1.0986122886681098,6.281013625618804,1.5342651075624043,-0.22168091388893896,-0.10042565770508459
12412,45,2,836.74,1.0986122886681098,6.730707789810873,-0.6138853974614416,-0.22168091388893896,0.2675560732869266
12413,144,2,509.90000000000003,1.0986122886681098,6.2361738763367525,0.6297806843944692,-0.22168091388893896,-0.13711772505201492
12414,125,3,442.41,1.3862943611198906,6.094494849927445,0.3910972949473753,0.23746677916904627,-0.2530527260699339
12415,7,14,101737.88,2.70805020110221,11.530164809863244,-1.0912521763556295,2.3470217456695135,4.194919696592261
12417,14,7,2483.52,2.0794415416798357,7.817834760919413,-1.003316190769858,1.3437467993016512,1.1571448126812842
12418,20,1,668.58,0.6931471805599453,6.506650650150935,-0.9279424888391967,-0.8688132409635588,0.08421161241024983
